

Element = 0



 DT = 0

h 	 Alfa
7.500000e+001 	 2.026782e-013
7.600000e+001 	 2.039423e-013
7.700000e+001 	 2.053096e-013
7.800000e+001 	 2.066719e-013
7.900000e+001 	 2.080278e-013
8.000000e+001 	 2.093758e-013
8.100000e+001 	 2.106734e-013
8.200000e+001 	 2.118745e-013
8.300000e+001 	 2.130150e-013
8.400000e+001 	 2.140473e-013
8.500000e+001 	 2.149214e-013
8.600000e+001 	 2.156745e-013
8.700000e+001 	 2.162567e-013
8.800000e+001 	 2.166179e-013
8.900000e+001 	 2.167992e-013
9.000000e+001 	 2.167085e-013


 DT = 18

h 	 Alfa
6.000000e+001 	 1.897069e-013
6.100000e+001 	 1.904456e-013
6.200000e+001 	 1.911657e-013
6.300000e+001 	 1.918956e-013
6.400000e+001 	 1.926355e-013
6.500000e+001 	 1.933857e-013
6.600000e+001 	 1.941464e-013
6.700000e+001 	 1.949179e-013
6.800000e+001 	 1.957320e-013
6.900000e+001 	 1.965263e-013
7.000000e+001 	 1.973647e-013
7.100000e+001 	 1.982490e-013
7.200000e+001 	 1.991475e-013
7.300000e+001 	 2.000608e-013
7.400000e+001 	 2.011280e-013
7.500000e+001 	 2.023221e-013
7.600000e+001 	 2.035782e-013
7.700000e+001 	 2.049368e-013
7.800000e+001 	 2.062903e-013
7.900000e+001 	 2.076372e-013
8.000000e+001 	 2.089761e-013
8.100000e+001 	 2.102648e-013
8.200000e+001 	 2.114575e-013
8.300000e+001 	 2.125900e-013
8.400000e+001 	 2.136150e-013
8.500000e+001 	 2.144828e-013
8.600000e+001 	 2.152304e-013
8.700000e+001 	 2.158083e-013
8.800000e+001 	 2.161668e-013
8.900000e+001 	 2.163468e-013
9.000000e+001 	 2.162567e-013


 DT = 19

h 	 Alfa
6.000000e+001 	 1.894254e-013
6.100000e+001 	 1.901603e-013
6.200000e+001 	 1.908765e-013
6.300000e+001 	 1.916025e-013
6.400000e+001 	 1.923383e-013
6.500000e+001 	 1.930844e-013
6.600000e+001 	 1.938409e-013
6.700000e+001 	 1.946080e-013
6.800000e+001 	 1.954175e-013
6.900000e+001 	 1.962072e-013
7.000000e+001 	 1.970407e-013
7.100000e+001 	 1.979198e-013
7.200000e+001 	 1.988130e-013
7.300000e+001 	 1.997208e-013
7.400000e+001 	 2.007815e-013
7.500000e+001 	 2.019683e-013
7.600000e+001 	 2.032165e-013
7.700000e+001 	 2.045665e-013
7.800000e+001 	 2.059111e-013
7.900000e+001 	 2.072491e-013
8.000000e+001 	 2.085791e-013
8.100000e+001 	 2.098590e-013
8.200000e+001 	 2.110435e-013
8.300000e+001 	 2.121681e-013
8.400000e+001 	 2.131858e-013
8.500000e+001 	 2.140473e-013
8.600000e+001 	 2.147895e-013
8.700000e+001 	 2.153633e-013
8.800000e+001 	 2.157191e-013
8.900000e+001 	 2.158978e-013
9.000000e+001 	 2.158083e-013


 DT = 20

h 	 Alfa
6.000000e+001 	 1.891455e-013
6.100000e+001 	 1.898764e-013
6.200000e+001 	 1.905889e-013
6.300000e+001 	 1.913109e-013
6.400000e+001 	 1.920428e-013
6.500000e+001 	 1.927847e-013
6.600000e+001 	 1.935370e-013
6.700000e+001 	 1.942999e-013
6.800000e+001 	 1.951047e-013
6.900000e+001 	 1.958899e-013
7.000000e+001 	 1.967186e-013
7.100000e+001 	 1.975926e-013
7.200000e+001 	 1.984805e-013
7.300000e+001 	 1.993829e-013
7.400000e+001 	 2.004371e-013
7.500000e+001 	 2.016166e-013
7.600000e+001 	 2.028571e-013
7.700000e+001 	 2.041985e-013
7.800000e+001 	 2.055344e-013
7.900000e+001 	 2.068637e-013
8.000000e+001 	 2.081848e-013
8.100000e+001 	 2.094561e-013
8.200000e+001 	 2.106324e-013
8.300000e+001 	 2.117491e-013
8.400000e+001 	 2.127596e-013
8.500000e+001 	 2.136150e-013
8.600000e+001 	 2.143518e-013
8.700000e+001 	 2.149214e-013
8.800000e+001 	 2.152746e-013
8.900000e+001 	 2.154520e-013
9.000000e+001 	 2.153633e-013


 DT = 0

h 	 DAlfa
60.000000 	 0.00000000000000000000 
61.000000 	 0.00000000000000000000 
62.000000 	 0.00000000000000000000 
63.000000 	 0.00000000000000000000 
64.000000 	 0.00000000000000000000 
65.000000 	 0.00000000000000000000 
66.000000 	 0.00000000000000000000 
67.000000 	 0.00000000000000000000 
68.000000 	 0.00000000000000000000 
69.000000 	 0.00000000000000000000 
70.000000 	 0.00000000000000000000 
71.000000 	 0.00000000000000000000 
72.000000 	 0.00000000000000000000 
73.000000 	 0.00000000000000000000 
74.000000 	 0.00000000000000000000 
75.000000 	 0.00000000000000000000 
76.000000 	 0.00000000000000000000 
77.000000 	 0.00000000000000000000 
78.000000 	 0.00000000000000000000 
79.000000 	 0.00000000000000000000 
80.000000 	 0.00000000000000000000 
81.000000 	 0.00000000000000000000 
82.000000 	 0.00000000000000000000 
83.000000 	 0.00000000000000000000 
84.000000 	 0.00000000000000000000 
85.000000 	 0.00000000000000000000 
86.000000 	 0.00000000000000000000 
87.000000 	 0.00000000000000000000 
88.000000 	 0.00000000000000000000 
89.000000 	 0.00000000000000000000 
90.000000 	 0.00000000000000000000 


 DT = 1

h 	 DAlfa
60.000000 	 -0.00159252112067941108 
61.000000 	 -0.00160961006118501304 
62.000000 	 -0.00162639120759517784 
63.000000 	 -0.00164352594782380995 
64.000000 	 -0.00166102557668994883 
65.000000 	 -0.00167890187524327391 
66.000000 	 -0.00169716713721334406 
67.000000 	 -0.00171583419720414761 
